State,Total,Population,Both in labor force,Husband in labor force,Wife in labor force,Both Not in labor force,Both in labor force,Husband in labor force,Wife in labor force,Both Not in labor force
Alabama,1229579,867090,46.3,23.7,8.5,21.5,401462,205500,73702,186424
Alaska,164518,123531,55.9,23.2,8.2,12.8,69052,28658,10128,15810
Arizona,1573546,1135360,43.9,23.9,7.7,24.5,498422,271350,87422,278162
Arkansas,749751,544067,46.9,22.5,9.1,21.5,255166,122414,49510,116974
California,8708774,6185858,50,26.5,7.6,15.9,3092928,1639252,470124,983550
Colorado,1309702,1000145,54,23.3,6.8,15.8,540078,233032,68008,158022
Connecticut,881355,644765,57.2,20.1,7.8,14.9,368804,129596,50290,96068
Delaware,230988,163350,51.8,16.9,8.9,22.4,84614,27606,14538,36590
District of Columbia,115477,63857,62,17.2,7.5,13.2,39590,10982,4788,8428
Florida,4675046,3361738,44.7,20.9,8.4,26,1502696,702602,282384,874050
Georgia,2419167,1684808,50.7,24.3,8.2,16.8,854196,409408,138154,283046
Hawaii,312380,230278,51.1,21.9,9.7,17.3,117672,50430,22336,39838
Idaho,406767,323887,48.7,23.9,6.8,20.6,157732,77408,22024,66720
Illinois,3086335,2256449,54.3,22.1,7.7,15.9,1225250,498674,173746,358774
Indiana,1651536,1213708,53.6,21,7.8,17.6,650546,254878,94668,213612
Iowa,796909,632094,59.6,16.6,7.2,16.6,376728,104926,45510,104926
Kansas,726061,562330,55.7,21.3,7.2,15.9,313216,119776,40486,89410
Kentucky,1121747,826087,48.5,20.8,9,21.7,400652,171826,74346,179260
Louisiana,1109475,738715,47.4,24.9,8.8,18.9,350150,183940,65006,139616
Maine,342108,261227,53.6,17.3,9,20.1,140016,45192,23510,52506
Maryland,1437457,1013543,58.4,19.9,7.4,14.4,591908,201694,75002,145950
Massachusetts,1596764,1169707,59.2,18.4,7.5,15,692466,215226,87728,175456
Michigan,2478645,1808447,48.9,20.2,8.8,22.1,884330,365306,159142,399666
Minnesota,1362032,1068394,60.6,15.7,7.5,16.3,647446,167736,80128,174148
Mississippi,736864,480622,48.6,21.8,9.1,20.5,233582,104774,43736,98526
Missouri,1503886,1119785,52.1,19.2,8.9,19.8,583406,214998,99660,221716
Montana,250636,198955,52.5,19.2,8,20.3,104450,38198,15916,40386
Nebraska,479357,370736,61.9,16.9,6.4,14.8,229484,62654,23726,54868
Nevada,640193,444894,47.7,23.3,8.8,20.1,212214,103660,39150,89422
New Hampshire,343363,268440,57.3,19.4,8,15.3,153816,52076,21474,41070
New Jersey,2194075,1598280,55.7,22.5,7.5,14.3,890240,359612,119870,228554
New Mexico,487117,338318,44.3,23.7,9.8,22.1,149874,80180,33154,74768
New York,4592706,3147131,53,21.5,8.6,16.8,1667978,676632,270652,528718
North Carolina,2483732,1795558,49.9,22.4,8.5,19.3,895982,402204,152622,346542
North Dakota,187451,148667,60.8,17.7,6.7,14.9,90388,26314,9960,22150
Ohio,2914550,2095746,52.6,20.1,8.3,19,1102362,421244,173946,398190
Oklahoma,963008,707265,48.7,24.6,8.3,18.4,344438,173986,58702,130136
Oregon,960100,724465,49.1,21,8.5,21.4,355712,152136,61578,155034
Pennsylvania,3173379,2352767,53,19.8,8.4,18.9,1246966,465846,197632,444672
Rhode Island,256077,178127,56.9,16.5,9,17.6,101354,29390,16030,31350
South Carolina,1197456,843169,47.5,21.8,8.5,22.2,400504,183810,71668,187182
South Dakota,210903,165397,61.7,16.2,7,15.1,102048,26794,11576,24974
Tennessee,1655480,1198174,48,23.2,9.1,19.8,575122,277976,109032,237238
Texas,6386885,4582954,49.9,28.7,6.7,14.7,2286894,1315306,307056,673694
Utah,688140,563526,51.8,29.7,5.3,13.2,291906,167366,29866,74384
Vermont,160392,124116,59.5,15.3,8.5,16.8,73848,18988,10548,20850
Virginia,2051042,1536661,54.8,22.2,7.5,15.5,842090,341138,115248,238182
Washington,1712570,1316747,50.7,23.8,7.9,17.6,667590,313384,104022,231746
West Virginia,471865,354686,41.6,22.2,9.9,26.3,147548,78740,35112,93282
Wisconsin,1481237,1128553,57.3,16.5,8.2,18.1,646660,186210,92540,204268
Wyoming,148660,116668,57.7,19.8,7.2,15.3,67316,23100,8400,17850
Puerto Rico,866040,488295,30.8,19.9,7.3,42,150394,97170,35644,205082
